Nama;Rasio;Satuan;Keterangan;Tahun
Meja Kursi;1;Buah Per Guru;Ruang Guru;2016
Lemari;1;Buah Per Ruangan;Ruang Guru;2016
Papan Pengumuman;1;Buah;Ruang Guru;2016
Tempat Sampah;1;Buah;Ruang Guru;2016
Jam Dinding;1;Buah;Ruang Guru;2016
Ruang Administrasi;2;Ruangan;Ruang Administrasi;2016
Kursi Kerja;1;Buah Per Petugas;Ruang Administrasi;2016
Meja Kursi;1;Buah Per Petugas;Ruang Administrasi;2016
Lemari;2;Buah;Ruang Administrasi;2016
Printer;2;Unit;Ruang Administrasi;2016
Komputer;2;Buah ;Ruang Administrasi;2016
Tempat Sampah;2;Buah;Ruang Administrasi;2016
Telepon;2;Buah;Ruang Administrasi;2016
Jam Dinding;2;Buah;Ruang Administrasi;2016
Sajadah;20;Buah;Aula dan Tempat Ibadah;2016
Kipas Angin;4;Unit;Aula dan Tempat Ibadah;2016
Meja Kerja;1;buah;Ruang Konseling;2016
Kursi Kerja;1;Buah;Ruang Konseling;2016
Kursi Tamu;2;Buah;Ruang Konseling;2016
Lemari;1;Buah;Ruang Konseling;2016
Papan Kegiatan;1;Buah;Ruang Konseling;2016
Instrumen Konseling;1;Set;Ruang Konseling;2016
Buku Sumber;1;Set;Ruang Konseling;2016
Jam Dinding;1;Buah;Ruang Konseling;2016
Tempat Tidur;1;Set;Ruang UKS;2016
Lemari;1;Buah;Ruang UKS;2016
Meja;1;Buah;Ruang UKS;2016
Kursi;1;Buah;Ruang UKS;2016
Selimut;1;Buah;Ruang UKS;2016
Perlengkapan P3K;1;Set;Ruang UKS;2016
Tempat Sampah;1;Buah;Ruang UKS;2016
Jam Dinding;1;Buah;Ruang UKS;2016
Meja;1;Buah;Ruang Organisasi;2016
Kursi;4;Buah;Ruang Organisasi;2016
Papan Tulis;1;Buah;Ruang Organisasi;2016
Lemari;1;Buah;Ruang Organisasi;2016
Jam Dinding;1;Buah;Ruang Organisasi;2016
Toilet Siswa wanita;1;Unit;Toilet;2016
Toilet Siswa Pria;1;Unit;Toilet;2016
Toilet Guru dan Karyawan;1;Unit;Toilet;2016
Gudang;1;Unit;Gudang;2016
Bendera dan Tiang Bendera;1;Set;Tempat Bermain Kesenian dan Upacara;2016
Peralatan Olahraga;1;Set;Tempat Bermain Kesenian dan Upacara;2016
Kantin;2;Unit;Kantin;2016
Tempat Parkir;1;Unit;Parkir;2016
